example_id,source,text,reference,prediction,raw_output,input_tokens,output_tokens,latency_seconds,tokens_per_second
112,ag_news,"Ukraine PM on Verge of Victory, Rival Cries Foul  KIEV (Reuters) - Ukraine's prime minister was on the verge  of victory in a presidential election on Monday but his liberal  rival accused the authorities of mass fraud and told thousands  of supporters to stay on the streets in protest.","- Ukraine PM on Verge of Victory, Rival Cries Foul KIEV (Reuters).
- Ukraine PM on Verge of Victory, Rival Cries Foul KIEV (Reuters) - Ukraine's prime minister was on the verge of victory in a presidential election on Monday but his liberal rival accused the authorities of mass fraud and told thousands of supporters to stay...","- Ukraine PM on Verge of Victory, Rival Cries Foul KIEV (Reuters) - Premier minister was on the verge of victory in a presidential election on Monday but his liberal rival accused the authorities of mass fraud and told thousands of supporters to stay on the streets in protest.","<BULLET> Ukraine PM on Verge of Victory, Rival Cries Foul KIEV (Reuters) - Premier minister was on the verge of victory in a presidential election on Monday but his liberal rival accused the authorities of mass fraud and told thousands of supporters to stay on the streets in protest.",270,64,2.1519194220001054,29.74089054901279
236,ag_news,"Advocate Or Promoter? (Forbes.com) Forbes.com - As the second employee of InfoSpace, Jean-Remy Facq saw the value of his stock inflate and then collapse. Now he's suing in federal court in Seattle for a  #36;4.5 million refund of 1999 federal income tax. He's just one of 200 tech workers who have hired Seattle tax lawyer/CPA Brian G. Isaacson in the hope his novel theories will help them slash old (and sometimes unpaid) tax bills from their exercise of stock options for shares that later tanked.","- Advocate Or Promoter? (Forbes.com) Forbes.com.
- Advocate Or Promoter? (Forbes.com) Forbes.com - As the second employee of InfoSpace, Jean-Remy Facq saw the value of his stock inflate and then collapse.
- Now he's suing in federal court in Seattle for a #36;4.5 million refund of 1999 federal income tax.","- Advocate Or Promoter?
- Jean-Remy Facq saw the value of his stock inflate and then collapse.
- Now he's suing in federal court in Seattle for a #36;4.5 million refund of 1999 federal income tax.
- He's just one of 200 tech workers who have hired Seattle tax lawyer/CPA Brian G. Isaacson in the hope his novel theories will help them slash old (and sometimes unpaid) tax bills from their exercise of stock options for shares that later tanked",<BULLET> Advocate Or Promoter?<BULLET> Jean-Remy Facq saw the value of his stock inflate and then collapse.<BULLET> Now he's suing in federal court in Seattle for a #36;4.5 million refund of 1999 federal income tax.<BULLET> He's just one of 200 tech workers who have hired Seattle tax lawyer/CPA Brian G. Isaacson in the hope his novel theories will help them slash old (and sometimes unpaid) tax bills from their exercise of stock options for shares that later tanked,335,114,4.003631300000052,28.4741504543634
274,ag_news,"Mass. Electric seeks 10 rate hike Blaming recent run-ups in the prices of natural gas and oil, Massachusetts Electric Co. sought permission yesterday to raise rates by nearly 10 percent for 425,000 of its customers starting in November.","- Electric seeks 10 rate hike Blaming recent run-ups in the prices of natural gas and oil, Massachusetts Electric Co. sought permission yesterday to raise rates by nearly 10 percent for 425,000 of its customers starting in November.","- Mass.
- seeks 10 rate hike Blaming recent run-ups in the prices of natural gas and oil, Massachusetts Electric Co.
- sought permission yesterday to raise rates by nearly 10 percent for 425,000 of its customers starting in November.","<BULLET> Mass.<BULLET> seeks 10 rate hike Blaming recent run-ups in the prices of natural gas and oil, Massachusetts Electric Co.<BULLET> sought permission yesterday to raise rates by nearly 10 percent for 425,000 of its customers starting in November.",254,52,2.3289737290000403,22.327430899070954
415,ag_news,"Save the Hubble The Issue: Space telescope was condemned to a lingering death. Our View: New report gives support to a manned rescue mission. The Hubble telescope may well be the most successful observatory ever built, producing","- Save the Hubble The Issue.
- Save the Hubble The Issue: Space telescope was condemned to a lingering death.
- Our View: New report gives support to a manned rescue mission.",- Space telescope was condemned to a lingering death.,<BULLET> Space telescope was condemned to a lingering death.,255,14,0.6248389139999517,22.405774810627562
24,cnn_dailymail,"(CNN)Tornadoes, fierce winds and severe thunderstorms with large hail are predicted for the Midwest and for the Plains, from the Ozarks eastward to the lower Ohio Valley, on Thursday and Friday, the National Weather Service said. Severe weather is perilous anytime, of course, but CNN meteorologist Chad Myers says that tornado conditions are more dangerous during the night. ""Tornadoes can be more deadly when people are sleeping and not paying attention to the warnings,"" he said. Scattered storms will soak Illinois and Missouri, and wind and hail will continue to be moderate in those states, the National Weather Service said. By Thursday afternoon, storms will hit parts of Indiana and Kentucky. Earlier this week, severe weather struck the South. Alabama, Arkansas, Oklahoma and Georgia reported large hail. Residents in Shawnee, Oklahoma, were awakened early Wednesday morning by a severe storm producing golf ball-sized hail. ""The hail came out of nowhere so it was kind of shocking,"" Sherri McDonald said to CNN in an iReport. The hail dinged her car.","- (CNN)Tornadoes, fierce winds and severe thunderstorms with large hail are predicted for the Midwest and for the Plains, from the Ozarks eastward to the lower Ohio Valley, on Thursday and Friday, the National Weather Service said.
- Severe weather is perilous anytime, of course, but CNN meteorologist Chad Myers says that tornado conditions are more dangerous during the night.
- ""Tornadoes can be more deadly when people are sleeping and not paying attention to the warnings,"" he said.
- Scattered storms will soak Illinois and Missouri, and wind and hail will continue to be moderate in those states, the National Weather Service said.
- By Thursday afternoon, storms will hit parts of Indiana and Kentucky.
- Earlier this week, severe weather struck the South.","- Severe weather is perilous anytime, of course, but CNN meteorologist Chad Myers says that tornado conditions are more dangerous during the night.
- Scattered storms will soak Illinois and Missouri, and wind and hail will continue to be moderate in those states, the National Weather Service said.
- By Thursday afternoon, storms are expected to hit parts of Indiana and Kentucky.
- Earlier this week, severe weather struck the South.
- Alabama, Arkansas, Oklahoma and Georgia reported large hail.
- Residents in Shawnee, Oklahoma, were awakened early Wednesday morning.
- The hail dinged her car.","<BULLET> Severe weather is perilous anytime, of course, but CNN meteorologist Chad Myers says that tornado conditions are more dangerous during the night.<BULLET> Scattered storms will soak Illinois and Missouri, and wind and hail will continue to be moderate in those states, the National Weather Service said.<BULLET> By Thursday afternoon, storms are expected to hit parts of Indiana and Kentucky.<BULLET> Earlier this week, severe weather struck the South.<BULLET> Alabama, Arkansas, Oklahoma and Georgia reported large hail.<BULLET> Residents in Shawnee, Oklahoma, were awakened early Wednesday morning.<BULLET> The hail dinged her car.",447,133,3.950905710000029,33.663167324739575
41,cnn_dailymail,"Baby dolls have long been peeing 'like a real baby' since the 1930's but Toys ""R"" Us is now selling a doll with a realistic looking genitals--and it's upsetting some shoppers who think it's 'unnecessary.' The toy is made by the company You & Me Change My Diaper Doll collection at Toys ""R"" US and it not only cries when it's wet, it pees from an anatomically correct penis. The Huffington Post reports that some parents are outraged and think that the toy should at least come with a 'warning' label. Scroll down for video . Angry: You & Me Mommy Change My Diaper Doll from Toys ""R"" Us has some parents frowning . Others think that the doll's anatomy could be a learning experience for children and doesn't need to be perceived as sexual. Monica Beyer, a writer at SheKnows.com, thinks the doll is an appropriate toy for children. 'How on earth is it inappropriate for a child to see a naked baby? What about a baby makes a penis or a vulva dirty or sexual?' Beyer writes. 'The truth is, when a child points out the body part that she doesn't have, all a parent is required to do is call it by its name, ' she continues. She goes on to talk about how 'body shame' starts early and needs to be 'stopped early.' The original doll (left) to wet itself like a real baby is Besty Wetsy invented in 1935 and the new anatomically correct modern version (right) Are anatomically correct Diaper Baby Dolls appropriate for children? Are anatomically correct Diaper Baby Dolls appropriate for children? Now share your opinion . 'The . bottom line is that, while you may not choose to give your child an . anatomically correct baby doll, parents should have the option. The doll . isn't harmful,' she writes. Peeing dolls have been around since the 1930s when Betsy Wetsy was invented by the Ideal Toy Company of New York. While she may not have what is considered 'a vagina' she had a whole from which liquids pour out. The . first anatomically correct male doll was actually created in 1976 and . is the Archie's Bunker's Grandson Joey Stivic doll which is still . available for purchase on EBay. The . Huffington Post spoke to Dr. Logan Levkoff who suggested that having a . doll with a penis might be helpful rather than harmful. What's harmful is banning the word penis because then children might not know how to tell their parents a body part hurts.","- Baby dolls have long been peeing 'like a real baby' since the 1930's but Toys ""R"" Us is now selling a doll with a realistic looking genitals--and it's upsetting some shoppers who think it's 'unnecessary.' The toy is made by the company You & Me Change My...
- The Huffington Post reports that some parents are outraged and think that the toy should at least come with a 'warning' label.
- Angry: You & Me Mommy Change My Diaper Doll from Toys ""R"" Us has some parents frowning.
- Others think that the doll's anatomy could be a learning experience for children and doesn't need to be perceived as sexual.
- Monica Beyer, a writer at SheKnows.com, thinks the doll is an appropriate toy for children.
- 'How on earth is it inappropriate for a child to see a naked baby?","- The Huffington Post reports that some parents are outraged and think that the toy should at least come with a 'warning' label.
- The doll.
- While she may not have what is considered 'a vagina' she had a whole from which liquids pour out.
- It is the Archie's Bunker's Grandson Joey Stivic doll which is still. available for purchase on EBay.
- What's harmful is banning the word penis because then children might not know how to tell their parents a body part hurts.",<BULLET> The Huffington Post reports that some parents are outraged and think that the toy should at least come with a 'warning' label.<BULLET> The doll.<BULLET> While she may not have what is considered 'a vagina' she had a whole from which liquids pour out.<BULLET> It is the Archie's Bunker's Grandson Joey Stivic doll which is still. available for purchase on EBay.<BULLET> What's harmful is banning the word penis because then children might not know how to tell their parents a body part hurts.,862,132,4.915515704999962,26.853743924718277
294,cnn_dailymail,"By . Kerry Mcdermott . PUBLISHED: . 05:27 EST, 9 April 2013 . | . UPDATED: . 09:42 EST, 9 April 2013 . An 'incredibly lucky' lorry driver escaped with his life after his 40ft HGV toppled off a flyover and plummeted 30ft onto a busy motorway at rush hour. The lorry came off the northbound M42 shortly before 6.30pm yesterday evening and crash-landed onto the northbound carriageway of the M6 Toll motorway, which runs beneath. The truck is believed to have jack-knifed across all three motorway lanes and veered off the bridge after colliding with a Ford Mondeo, Warwickshire Police said. 'Amazing escape': The driver survived after his articulated lorry left the flyover on the M42 and plunged onto the M6 Toll beneath . Incredibly the driver, a man aged in his . 50s, escaped with just a broken leg after crawling from the wreckage of . his cab. He was airlifted to Birmingham's Queen Elizabeth Hospital after being treated at the scene by paramedics. The driver of the silver Ford Mondeo, 49, who had also been travelling north on the M42, also escaped unharmed. Passing motorist Shelley Brumpton snapped the aftermath of the crash and posted the picture on Twitter. She tweeted: 'Worst crash I've ever seen...arctic [sic] fallen off the bridge onto M6 toll. Thoughts are with family praying all ate [sic] safe. 'Horrific accident though, incredibly lucky to have made it out alive!!' Sam Taylor, 36, who was driving on the M42 at the time of the crash, said: 'I didn't see them coming together but saw the lorry flying across the road in my wing mirror. 'When I saw it plunge over the edge down onto the motorway below I thought ""that's it, he's a goner"". 'I couldn't believe it when I got home and saw on the TV that no-one had been badly injured. 'It's a miracle that he didn't land on a car or cause a horrific crash on the M6 Toll, it could have killed ten or more people. 'If I was that lorry driver, I'd be putting the lottery on this weekend.' 'Incredibly lucky': The driver managed to crawl from the wreckage of his cab after the 40ft lorry toppled onto the carriageway yesterday evening . 'Miracle': No-one was badly injured when the lorry veered off the M42 flyover in Warwickshire and crash-landed on the M6 Toll 30ft below . Both the northbound M6 Toll and M42 were closed for several hours following the smash. Warwickshire Fire and Rescue Service said 1,200 litres (263 gallons) of diesel had leaked from the unladen curtain-sided lorry's fuel tank onto the carriageway near T1 of the M6 Toll. West Midlands Ambulance Service described the driver's escape as 'amazing' after an ambulance, a paramedic rapid response vehicle and the Midlands Air Ambulance rushed to the scene. A spokesman said: 'Ambulance crews responded to a road traffic collision following reports of a lorry coming off a flyover on the M42 and landing on the northbound M6 Toll road. 'Crews treated the lorry driver, a man in his 50s, for serious lower leg fractures, neck and back pain and facial lacerations. 'The driver crawled out of his badly damaged cab and was treated at the scene by paramedics before being airlifted to the Queen Elizabeth Hospital in Birmingham for further assessment. 'Miraculously there were no cars passing at the time - it would have been far worse if there had been. 'The M6 Toll northbound was closed as a result of the incident.' Treatment: The lorry driver was airlifted to Birmingham's Queen Elizabeth Hospital to be treated for lower leg fractures, neck and back pain and facial lacerations . Warwickshire Police are appealing for information from motorists who were travelling on the M42 Northbound near to junction 9 in North Warwickshire near to Coleshill, and who saw the Daf curtain sided artic, or the silver Ford Mondeo travelling northbound prior to the collision taking place. Anyone with any information is asked to leave a message for PC Liam Ryan in the Major Incident Unit, Roads on 01926 415415.","- An 'incredibly lucky' lorry driver escaped with his life after his 40ft HGV toppled off a flyover and plummeted 30ft onto a busy motorway at rush hour.
- The lorry came off the northbound M42 shortly before 6.30pm yesterday evening and crash-landed onto the northbound carriageway of the M6 Toll motorway, which runs beneath.
- The truck is believed to have jack-knifed across all three motorway lanes and veered off the bridge after colliding with a Ford Mondeo, Warwickshire Police said.
- 'Amazing escape': The driver survived after his articulated lorry left the flyover on the M42 and plunged onto the M6 Toll beneath.
- Incredibly the driver, a man aged in his.
- 50s, escaped with just a broken leg after crawling from the wreckage of. his cab.
- He was airlifted to Birmingham's Queen Elizabeth Hospital after being treated at the scene by paramedics.
- The driver of the silver Ford Mondeo, 49, who had also been travelling north on the M42, also escaped unharmed.","- The truck is believed to have jack-knifed across all three motorway lanes and veered off the bridge after colliding with a Ford Mondeo, Warwickshire Police said.
- The driver was airlifted to Birmingham's Queen Elizabeth Hospital after being treated at the scene by paramedics.
- Passing motorist Shelley Brumpton snapped the aftermath of the crash and posted the picture on Twitter.
- Warwickwickshire Fire and Rescue Service said 1,200 litres (263 gallons) of diesel had leaked from the unladen curtain-sided lorry's fuel tank onto the carriageway near T1 of the M6 Toll, it would have been far worse if there had been.","<BULLET> The truck is believed to have jack-knifed across all three motorway lanes and veered off the bridge after colliding with a Ford Mondeo, Warwickshire Police said.<BULLET> The driver was airlifted to Birmingham's Queen Elizabeth Hospital after being treated at the scene by paramedics.<BULLET> Passing motorist Shelley Brumpton snapped the aftermath of the crash and posted the picture on Twitter.<BULLET> Warwickwickshire Fire and Rescue Service said 1,200 litres (263 gallons) of diesel had leaked from the unladen curtain-sided lorry's fuel tank onto the carriageway near T1 of the M6 Toll, it would have been far worse if there had been.",1304,163,8.50171690600007,19.172597935478546
456,email,"We are going to try to get to the point of uploading our nomination into pegasys this month so we are changing the meters to correctly reflect what Sitara has vs what PGLC has.
The trade zone TTP is available now and I am going forward and moving November deals into the new trade zone.
I am making a list of all the deals I am changing if anyone needs it.
THESE ARE THE CORRECT METERS TO BE USED EFFECTIVE NOVEMBER 1, 2001  PGLC/TTP/TTP - All buys and sales that are not being nominated from a contract - ALL ""CHICAGO PEOPLES"" EOL DEALS ARE MAPPED TO THIS METER  PGLC/NGPL/NGPL - All buys that are to be nominated specifically from an NGPL Transport  Contract  PGLC/NBPL/NBPL01 - All buys that are to be nominated specifically from an NBPL Transport Contract  PGLC/ANR/ANR -All buys that are to be nominated specifically from an ANR Transport Contract","- We are going to try to get to the point of uploading our nomination into pegasys this month so we are changing the meters to correctly reflect what Sitara has vs what PGLC has.
- The trade zone TTP is available now and I am going forward and moving November deals into the new trade zone.
- I am making a list of all the deals I am changing if anyone needs it.
- THESE ARE THE CORRECT METERS TO BE USED EFFECTIVE NOVEMBER 1, 2001 PGLC/TTP/TTP - All buys and sales that are not being nominated from a contract - ALL ""CHICAGO PEOPLES"" EOL DEALS ARE MAPPED TO THIS METER PGLC/NGPL/NGPL - All buys that are to be nominated...","- The trade zone TTP is available now and I am moving November deals into the new trade zone.
- ALL buys and sales that are not being nominated from a contract.
- THESE ARE THE CORRECT METERS TO BE USED EFFECTIVE NOVEMBER 1, 2001 PGLC/TTP/TPT - ALL buy and sales which are not currently being nomineated from an ANR Transport Contract PGPC/NBPL01 - All buys that are to be nominates","<BULLET> The trade zone TTP is available now and I am moving November deals into the new trade zone.<BULLET> ALL buys and sales that are not being nominated from a contract.<BULLET> THESE ARE THE CORRECT METERS TO BE USED EFFECTIVE NOVEMBER 1, 2001 PGLC/TTP/TPT - ALL buy and sales which are not currently being nomineated from an ANR Transport Contract PGPC/NBPL01 - All buys that are to be nominates",455,115,3.589630657999919,32.036722146806056
87,email,"Hey Ken.
How are things going for you?
Is the market loving you?
We have been really busy.
We sold our house after 2 weeks on the market.
I  don't think I had it underpriced.
I looked at the average $/sq ft for sales  in our neighborhood for the last 6 months and I was pretty high above the  average.
Anyway, we got what we wanted and made a little money, so we were  happy.
Two days after we sold our house, Tonya found the one she wanted in  Oaks of Devonshire.
It's over at Louetta and I-45, just before The Thicket.
It's a little bigger than we were looking for (3100 sq ft), but it's got a  great game room/sunroom for the kids.
It was built in 86, so it needs a  little work.
But that's ok with me.
Anyway, we are closing on both houses  on Monday and moving Tuesday and Wednesday.
We will have you and Linda over  for lunch or dinner one of these days.
We also had tubes put into Jake's  ears this month.
We hated having to do that, but it has really made a  difference.
He had a constant ear infection since October.
Now you can tell  that he feels so much better.
He's learning more and more each day.
We have  nothing that is ""Jake proof"".
Even those plastic locks you put on cabinets  don't hold him.
He knows that if you keep yanking on the door over and over  that it will eventually slip or break and then your in.
I'm going to install  pad locks on the cabinets at the new house.
We'll see if that stops him.
Anyway, everybody's doing well.
I will be alot better after we finish this  house business.
I don't feel so good when I'm writing all those checks.
Talk to you later.
D","- We have been really busy.
- We sold our house after 2 weeks on the market.
- I don't think I had it underpriced.
- I looked at the average $/sq ft for sales in our neighborhood for the last 6 months and I was pretty high above the average.
- Two days after we sold our house, Tonya found the one she wanted in Oaks of Devonshire.","- Hey Ken.
- We sold our house after 2 weeks on the market.
- I don't think I had it underpriced.
- Two days after we sold our home, Tonya found the one she wanted in Oaks of Devonshire.
- It's over at Louetta and I-45, just before The Thicket.
- Now you can tell that he feels so much better.
- He's learning more and more each day.
- Even those plastic locks you put on cabinets don'T hold him.
- Doivent","<BULLET> Hey Ken.<BULLET> We sold our house after 2 weeks on the market.<BULLET> I don't think I had it underpriced.<BULLET> Two days after we sold our home, Tonya found the one she wanted in Oaks of Devonshire.<BULLET> It's over at Louetta and I-45, just before The Thicket.<BULLET> Now you can tell that he feels so much better.<BULLET> He's learning more and more each day.<BULLET> Even those plastic locks you put on cabinets don'T hold him.<BULLET> Doivent",623,116,4.911849952000011,23.616356593459663
422,email,"Here's what they suggested (yes I'm working, I can do two things at once)  There is a rule of halves - you can give half to your kids, you get medicaid  when the retained half runs out.
There is probably a time period you can do this.
Kay","- Here's what they suggested (yes I'm working, I can do two things at once) There is a rule of halves - you can give half to your kids, you get medicaid when the retained half runs out.
- There is probably a time period you can do this.","- Here's what they suggested (yes I'm working, I can do two things at once)
- There is a rule of halves - you can give half to your kids, you get medicaid when the retained half runs out.
- There's probably a time period you can do this.","<BULLET> Here's what they suggested (yes I'm working, I can do two things at once)<BULLET> There is a rule of halves - you can give half to your kids, you get medicaid when the retained half runs out.<BULLET> There's probably a time period you can do this.",268,67,2.132446566999988,31.419310118639128
